coords.x1,coords.x2,SiteName,Drainage,Basin,Substrate,NWI,AREA_m2,PERI_m,Depth_m,TDS,FISH,ACB,AUC,AUCV,AUCC,AUF,AWOOD,AUFV
688816.594195402,5003207.49408473,AirplaneLake,ShipIslandCreek,Sheepeater,Silt,Lacustrine,62582.2,1142.8,21.64,2.5,1,0,0.411,0,0.411,0.063,0.063,0.464
688494.421037433,4999093.11113566,BachelorMeadow,WilsonCreek,Skyhigh,Silt,Riverine_Intermittent_Streambed,225,60,0.4,0,0,0,0,0,0,1,0,0
687938.43626134,5000223.22272648,BarkingFoxLake,WaterfallCreek,Terrace,Silt,Lacustrine,12000,435,5,13.8,1,0,0.3,0,0.3,0.7,0,0
689732.83872764,5002522.23838007,BirdbillLake,ClearCreek,Birdbill,Sand,Lacustrine,12358.6,572.3,3.93,6.4,1,0,0.283,0,0.283,0.717,0,0
690104.025813608,4999354.68736598,BobLake,WilsonCreek,Harbor,Silt,Palustrine,4600,321.4,2,14.3,0,0,0,0,0,0.5,0,0.5
688742.491718412,4997481.20062562,CacheLake,WilsonCreek,Skyhigh,Silt,Palustrine,2268.8,192,1.86,10.9,0,0,0,0,0,0.556,0.093,0.352
688962.40990413,4996675.19416302,DoeLake,WilsonCreek,Skyhigh,Silt,Lacustrine,13034.9,463.2,6.03,10,1,0,0.415,0.171,0.585,0.341,0,0.073
688539.302549649,4998145.50021226,EggWhiteLake,WilsonCreek,Skyhigh,Silt,Palustrine,4544.5,291.9,3.3,2.4,0,0,0,0.047,0.047,0.686,0.209,0.058
688878.694311549,5004434.98312305,ElenasLake,ShipIslandCreek,Sheepeater,Sand,Palustrine,0,0,0,0,0,0,0,0,0,0,0,0
688901.541132419,4996836.66923907,FawnLake,WilsonCreek,Skyhigh,Silt,Palustrine,3865.9,237.7,1.98,3.6,0,0,0,0,0,1,0,0
688845.243452415,4998427.22294263,FrogPondLake,WilsonCreek,Skyhigh,Silt,Palustrine,2094,170.7,3.07,9,0,0,0,0,0,0.5,0,0.5
689781.565843787,5002971.51254733,GentianLake,ClearCreek,Birdbill,Sand,Lacustrine,26275.8,1045.5,3.57,3.3,1,0,0.597,0,0.597,0.26,0.143,0
689933.374085599,5003060.24228389,GentianPonds,ClearCreek,Birdbill,Silt,Palustrine,225,60,2,6.7,0,0,0,0,0,1,0,0
690201.552269198,5003992.24909179,GoldenLake,ClearCreek,Glacier,Silt,Lacustrine,3525.8,264,2,0,1,0,0.111,0,0.111,0.889,0,0
688051.468345727,4996217.30625218,GreggsLake,WilsonCreek,TipTop,Cobble,Palustrine,6556.2,305,4.7,0,0,0,0,0.351,0.351,0.455,0,0.195
688258.31026639,4998688.26028921,InandOutLake,WilsonCreek,Skyhigh,Sand,Lacustrine,13043.3,438.2,8,5.2,0,0,0.279,0.403,0.682,0.287,0.031,0
690890.075207195,5002712.96776362,MeadowLake,ClearCreek,Birdbill,Silt,Palustrine,12000,460,3,10,1,0,0,0,0,0.045,0,0.955
688503.028296543,4995758.07283723,MooseLake,WilsonCreek,TipTop,Silt,Palustrine,3444.6,220,2,0,0,0,0,0.067,0.067,0.437,0.042,0.454
687616.367396531,4995545.0721795,Mt.WilsonLake,WilsonCreek,TipTop,Silt,Palustrine,6089.4,300.5,3.89,5,0,0,0.441,0,0.441,0.441,0.118,0
686909.464239628,5002467.24109372,NopezLake,ShipIslandCreek,Nopez,silt,Lacustrine,12002.9,511.3,5,0,0,0,0,0,0,0.882,0.118,0
687421.457372579,4994947.60910901,ParagonLake,WilsonCreek,TipTop,Silt,Lacustrine,36915,916.7,12.7,0,1,0.11,0,0.463,0.463,0.088,0,0.338
687144.2674022,4994984.29766509,ParagonWetland,WilsonCreek,TipTop,Silt,Riverine_UpperPerennial_UnconsolidatedBottom,1000,120,0.25,0,0,0,0,0,0,0.5,0,0.5
690481.35642236,5004352.25153988,PotholeLake,ClearCreek,Glacier,Silt,Lacustrine,5993.5,292.9,3.35,0,1,0,0.097,0,0.097,0.778,0,0.125
687914.213415119,4995203.61056618,RamshornLake,WilsonCreek,TipTop,Silt,Lacustrine,38912.8,921.7,16.97,5,1,0,0,0,0,0.135,0.099,0.766
686908.526760928,5004064.23203492,ShipIslandLake,ShipIslandCreek,Nopez,Sand,Lacustrine,353898.1,4312.9,22.86,5,1,0.036,0.405,0.012,0.417,0.357,0.071,0.119
688159.713560028,4999027.39283063,SkyhighLake,WilsonCreek,Skyhigh,Silt,Lacustrine,39087.1,763.5,24.3,0,1,0,0.63,0,0.63,0.151,0.151,0.068
689982.559676347,5003158.97218269,StockingCapLake,ClearCreek,Birdbill,Cobble,Palustrine,5814.5,353.3,4.02,6.8,1,0,0.43,0,0.43,0.494,0,0.076
688064.948747925,5000800.14371264,Terrace1Lake,WaterfallCreek,Terrace,Silt,Lacustrine,16601.3,520.2,6,0,1,0,0.396,0,0.396,0.604,0,0
690033.375177892,4999426.21425703,TobiasLake,WilsonCreek,Harbor,Silt,Palustrine,0,0,0,0,0,0,0,0,0,0,0,0
687985.587197578,4994089.28974707,WalkaboutLake,WilsonCreek,TipTop,Cobble,Lacustrine,6856.1,335.7,5.7,10,0,0.083,0.817,0,0.817,0,0.1,0
689487.390620389,5000061.21976068,WelcomeLake,WilsonCreek,Harbor,Silt,Lacustrine,17159.4,915.1,3.08,20,1,0.022,0.034,0,0.034,0.82,0.067,0.056
