pop	Name	N	W	Size	Vegetation	Connectivity	Stability
PICO2009	Pico	16.3519	-61.457	1.612	1.893	0.5	0.143361387
ROC2007	Grosse_Roche	16.249	-61.4378	1.409	0.992	0.25	-0.092149731
SEN2007	Senneville	16.4566	-61.5127	1.208	0.984	0	-0.473336529
VEE2008	Valet_Est_Est	16.2392	-61.382	1.36	1.899	1	-0.195725414
GEF2009	Geffrier	16.3319	-61.4986	1.187	1.335	2	-1.783728246
REJ2008	Rejoui_Nord_1	16.2379	-61.5002	1.545	1.479	2.125	0.925929278
ECL2009	L_Ecluse	16.3117	-61.3721	1.933	1.155	0.125	-0.932346921
COU2009	Couronne_Conchou	16.325	-61.313	1.291	1.396	0.125	-2.386366997
FDR09	Fond_Rose	16.4545	-61.4515	0.844	1.02	0.125	-3.932520699
MAH09	Mahaudiere	16.443	-61.4271	1.642	1.725	0.125	-1.413985199
PIS09	Pistolet	16.498	-61.4631	1.415	1.232	0.286	-3.307174341
PEV2009	Porte_D_Enfer_Vigie	16.4929	-61.4443	0.999	1.338	0	-5.562214976
BLON2009	Blonval_Nord	16.2568	-61.3219	1.169	0.625	0	-2.273784192
POU2009	Poucet	16.2207	-61.5056	0.869	0.856	2.625	0.159209269
DESB2009	Desbonnes_GV_Sud_1	16.4853	-61.4581	1.056	0.455	0	-1.806552661
BAM2009	Bamboche	16.2888	-61.3664	1.334	0.764	1	1.090742019
BAZ2009	Bazin	16.366	-61.4488	1.584	1.62	0	0.783799126
HEN2009	L_Henriette_Nord	16.2849	-61.3714	1.128	1.497	0	1.292627123
MAM2009	Mam_me	16.2901	-61.3695	2.392	1.817	0	1.016280751
TIT2009	Titon	16.2179	-61.4907	1.835	1.67	2.125	-1.091381637
DEL2010	Delisle_Sud	16.3627	-61.4443	1.525	1.72	0	0.950711574
PAV2009	Pavillon	16.3673	-61.4402	1.883	1.321	0.429	0.433926565
STJ2010	Saint_Jacques	16.488	-61.4648	1.173	0.969	0.875	-0.212220247
KAN2010	Kancel	16.2238	-61.4672	0.933	1.956	2.125	-0.298584317
PTC2009	Mare_de_la_pointe_des_chateaux	16.2466	-61.1823	1.379	1.26	0	-1.201663559
