Site	Lat	Long	Year	Si	V	C	St	G	SR	SR_Pulmonates	SR_Caenogastropods
BAM2009	16.289	-61.366	2009	1.334	0.764	1.000	1.091	172	5.111	4.111	3.111
BAZ2009	16.366	-61.449	2009	1.584	1.620	0.000	0.784	75	6.273	4.636	1.455
BEL10	16.421	-61.489	2010	1.750	1.428	0.000	0.185	24	4.111	3.889	1.361
BLON2009	16.257	-61.322	2009	1.169	0.625	0.000	-2.274	103	1.800	1.800	1.289
COU2009	16.325	-61.313	2009	1.291	1.396	0.125	-2.386	29	3.364	3.364	4.655
DEL2010	16.363	-61.444	2010	1.525	1.720	0.000	0.951	72	4.375	4.000	0.571
DESB2009	16.485	-61.458	2009	1.056	0.455	0.000	-1.807	35	1.800	1.600	1.378
FN09	16.422	-61.520	2009	1.673	1.503	0.625	-0.168	11	2.600	2.600	3.822
FDR09	16.455	-61.451	2009	0.844	1.020	0.125	-3.933	36	2.111	2.111	5.361
GEF2009	16.332	-61.499	2009	1.187	1.335	2.000	-1.784	9	7.000	4.800	2.622
GOR09	16.254	-61.283	2009	1.238	1.688	1.000	-0.565	51	3.800	3.800	1.700
ROC2006	16.249	-61.438	2006	1.409	0.992	0.250	-0.092	37	3.300	3.100	3.211
KAN2010	16.224	-61.467	2010	0.933	1.956	2.125	-0.299	26	6.000	4.111	4.611
LAM09	16.246	-61.421	2009	1.420	1.076	0.000	0.878	35	4.000	3.000	3.000
ECL2009	16.312	-61.372	2009	1.933	1.155	0.125	-0.932	56	3.636	3.182	2.764
HEN2009	16.285	-61.371	2009	1.128	1.497	0.000	1.293	189	3.900	3.700	2.678
MAH09	16.443	-61.427	2009	1.642	1.725	0.125	-1.414	32	4.000	3.455	3.073
MAL09	16.389	-61.469	2009	1.311	1.884	0.000	-0.152	42	2.909	2.909	1.891
MAM2009	16.290	-61.370	2009	2.392	1.817	0.000	1.016	164	4.200	3.400	2.711
PTC2009	16.247	-61.182	2009	1.379	1.260	0.000	-1.202	0	1.667	1.667	4.333
PAV2009	16.367	-61.440	2009	1.883	1.321	0.429	0.434	88	5.000	4.182	1.964
PICO2009	16.352	-61.457	2009	1.612	1.893	0.500	0.143	35	3.900	3.900	2.100
PIS09	16.498	-61.463	2009	1.415	1.232	0.286	-3.307	27	2.250	1.875	2.696
PEV2009	16.493	-61.444	2009	0.999	1.338	0.000	-5.562	14	2.100	2.100	4.767
POU2009	16.221	-61.506	2009	1.301	0.856	2.625	0.159	7	7.727	2.909	2.691
RF09	16.262	-61.294	2009	1.319	1.677	2.375	0.783	102	7.000	4.545	1.673
REJ2008	16.238	-61.500	2008	1.545	1.479	2.125	0.926	34	7.000	4.182	3.164
SRW09	16.279	-61.349	2009	2.046	1.348	0.000	0.921	133	2.889	2.889	1.111
STJ2010	16.488	-61.465	2010	1.173	0.969	0.875	-0.212	38	3.000	2.364	2.055
SEN2007	16.457	-61.513	2007	1.208	0.984	0.000	-0.473	40	2.889	2.778	2.194
TIT2009	16.218	-61.491	2009	1.835	1.670	2.125	-1.091	13	6.545	5.091	2.291
VEE2008	16.239	-61.382	2008	1.360	1.899	1.000	-0.196	36	5.111	4.444	4.028
