2012,Order,Site,Lat,Long,Year,Si,V,C,St,G,SR,SR_Pulmonates,SR_Caenogastropods
Yes,1,BAM2009,16.289,-61.366,2009,1.334,0.764,1,1.091,172,5.111,4.111,3.111
Yes,2,BAZ2009,16.366,-61.449,2009,1.584,1.62,0,0.784,75,6.273,4.636,1.455
No,3,BEL10,16.421,-61.489,2010,1.75,1.428,0,0.185,24,4.111,3.889,1.361
Yes,4,BLON2009,16.257,-61.322,2009,1.169,0.625,0,-2.274,103,1.8,1.8,1.289
Yes,5,COU2009,16.325,-61.313,2009,1.291,1.396,0.125,-2.386,29,3.364,3.364,4.655
Yes,6,DEL2010,16.363,-61.444,2010,1.525,1.72,0,0.951,72,4.375,4,0.571
Yes,7,DESB2009,16.485,-61.458,2009,1.056,0.455,0,-1.807,35,1.8,1.6,1.378
No,8,FN09,16.422,-61.52,2009,1.673,1.503,0.625,-0.168,11,2.6,2.6,3.822
Yes,9,FDR09,16.455,-61.451,2009,0.844,1.02,0.125,-3.933,36,2.111,2.111,5.361
Yes,10,GEF2009,16.332,-61.499,2009,1.187,1.335,2,-1.784,9,7,4.8,2.622
No,11,GOR09,16.254,-61.283,2009,1.238,1.688,1,-0.565,51,3.8,3.8,1.7
Yes,12,ROC2006,16.249,-61.438,2006,1.409,0.992,0.25,-0.092,37,3.3,3.1,3.211
Yes,13,KAN2010,16.224,-61.467,2010,0.933,1.956,2.125,-0.299,26,6,4.111,4.611
No,14,LAM09,16.246,-61.421,2009,1.42,1.076,0,0.878,35,4,3,3
Yes,15,ECL2009,16.312,-61.372,2009,1.933,1.155,0.125,-0.932,56,3.636,3.182,2.764
Yes,16,HEN2009,16.285,-61.371,2009,1.128,1.497,0,1.293,189,3.9,3.7,2.678
Yes,17,MAH09,16.443,-61.427,2009,1.642,1.725,0.125,-1.414,32,4,3.455,3.073
No,18,MAL09,16.389,-61.469,2009,1.311,1.884,0,-0.152,42,2.909,2.909,1.891
Yes,19,MAM2009,16.29,-61.37,2009,2.392,1.817,0,1.016,164,4.2,3.4,2.711
Yes,20,PTC2009,16.247,-61.182,2009,1.379,1.26,0,-1.202,0,1.667,1.667,4.333
Yes,21,PAV2009,16.367,-61.44,2009,1.883,1.321,0.429,0.434,88,5,4.182,1.964
Yes,22,PICO2009,16.352,-61.457,2009,1.612,1.893,0.5,0.143,35,3.9,3.9,2.1
Yes,23,PIS09,16.498,-61.463,2009,1.415,1.232,0.286,-3.307,27,2.25,1.875,2.696
Yes,24,PEV2009,16.493,-61.444,2009,0.999,1.338,0,-5.562,14,2.1,2.1,4.767
Yes,25,POU2009,16.221,-61.506,2009,1.301,0.856,2.625,0.159,7,7.727,2.909,2.691
No,26,RF09,16.262,-61.294,2009,1.319,1.677,2.375,0.783,102,7,4.545,1.673
Yes,27,REJ2008,16.238,-61.5,2008,1.545,1.479,2.125,0.926,34,7,4.182,3.164
No,28,SRW09,16.279,-61.349,2009,2.046,1.348,0,0.921,133,2.889,2.889,1.111
Yes,29,STJ2010,16.488,-61.465,2010,1.173,0.969,0.875,-0.212,38,3,2.364,2.055
Yes,30,SEN2007,16.457,-61.513,2007,1.208,0.984,0,-0.473,40,2.889,2.778,2.194
Yes,31,TIT2009,16.218,-61.491,2009,1.835,1.67,2.125,-1.091,13,6.545,5.091,2.291
Yes,32,VEE2008,16.239,-61.382,2008,1.36,1.899,1,-0.196,36,5.111,4.444,4.028
