FST,DPS,DISTANCE,DEPTH_F,HLI_F,CTI_F,DEPTH_T,HLI_T,CTI_T,hli,cti,dd5,err27,rsp,ridge,hab_ratio
0.260028,0.52066,4126.980002,0.4,1718.000001,7.172849203,21.64,1455.000001,6.151638499,1955.1,5.12,424.5000001,0.42,59.65000003,0.09,0.00047619
0.204752,0.38397,3110.789999,4.999999998,1315.000001,8.895872099,21.64,1455.000001,6.151638499,1671.249999,5.890000002,461.91,0.35,40.03999998,0.04,0.000434783
0.17716,0.36679,4062.219999,2.000000001,1685,10.9622784,21.64,1455.000001,6.151638499,2207.729999,5.950000003,466.9899999,0.39,45.42000001,0.05,0.000263158
0.239858,0.48651,5726.77,1.860000001,1265,7.475525898,21.64,1455.000001,6.151638499,2329.66,5.559999999,470.9199999,0.42,44.94000001,0.03,0.0003125
0.261139,0.48068,6533.930001,6.030000002,1307,8.520578401,21.64,1455.000001,6.151638499,2022.350001,5.700000001,490.3800001,0.4,48.23,0.02,0.000238095
0.273568,0.49416,5069.58,3.299999998,1294,5.179369501,21.64,1455.000001,6.151638499,2004.42,5.129999999,443.0300001,0.42,60.23,0.19,0.000277778
0.110239,0.25806,1229.060001,21.64,1455.000001,6.151638499,1.00E-04,1245,4.845000701,1518.459999,6.479999998,466.39,0.44,20.51,1.00E-04,0.000232558
0.25115,0.51166,6371.389999,1.980000001,1309,8.144791596,21.64,1455.000001,6.151638499,2068.509999,5.659999999,485.55,0.41,49.23000001,0.04,0.00025
0.201713,0.47689,4780.359998,3.070000001,1170,6.675704501,21.64,1455.000001,6.151638499,2187.680001,5.659999999,451.3599999,0.41,44.66999998,0.04,0.000434783
0.17125,0.31923,993.4099999,3.570000001,1344,5.836809599,21.64,1455.000001,6.151638499,1685.640001,6.019999998,474.7500001,0.33,33.40999999,0.05,0.1
0.190056,0.28073,1126.45,2.000000001,1525,5.3280978,21.64,1455.000001,6.151638499,1705.5,6.170000001,472.6700002,0.36,32.26000001,0.05,0.000175439
0.187833,0.29807,1591.84,21.64,1455.000001,6.151638499,2.000000001,1451,6.376057101,1719.03,5.670000001,446.0599999,0.39,36.61,0.03,0.00027027
0.290258,0.43348,7031.940001,4.700000001,1262,9.949107205,21.64,1455.000001,6.151638499,2052.4,5.070000002,461.4599999,0.43,53.90999998,0.05,0.00027027
0.238497,0.47509,4553.590001,8.000000003,1269.999999,7.547134902,21.64,1455.000001,6.151638499,1907.219999,5.319999998,442.02,0.42,48.32000002,0.08,0.000344828
0.174275,0.32194,2131.639999,3.000000001,1329,8.945763596,21.64,1455.000001,6.151638499,1888.859999,5.860000002,511.7500002,0.36,30.74999999,0.09,0.186440678
0.303807,0.46567,7456.020002,2.000000001,1210,6.526194999,21.64,1455.000001,6.151638499,2263.75,5.12,475.3500001,0.42,55.44000001,0.13,0.00025641
0.28946,0.4623,7755.849998,3.890000001,1548,9.763032001,21.64,1455.000001,6.151638499,2075.969999,5.220000001,460.9199999,0.41,45.15999999,0.12,0.000625
0.102385,0.308,2045.760001,4.999999998,1315.000001,11.247303,21.64,1455.000001,6.151638499,1989.92,5.800000003,452.5699999,0.42,51.95000002,0.11,0.00025641
0.282972,0.46454,8376.879999,12.69999999,1285,12.42983821,21.64,1455.000001,6.151638499,2070.479999,5.550000001,459.8599998,0.42,45.78000002,0.05,0.000526316
0.288293,0.45781,8391.519999,0.25,1606.000001,7.547778601,21.64,1455.000001,6.151638499,1940.459999,5.260000001,456.9200001,0.4,49.11,0.06,0.00047619
0.192066,0.3305,2020.37,21.64,1455.000001,6.151638499,3.350000001,1352.000001,7.438544299,1746.22,6.299999997,451.43,0.4,33.57,0.05,0.00037037
0.294317,0.45087,8054.589998,16.97,1305,12.3458347,21.64,1455.000001,6.151638499,2002.15,5.210000001,470.7900001,0.43,52.76000001,0.07,0.00025
0.050912,0.1959,2091.58,21.64,1455.000001,6.151638499,22.85999999,1303.999999,8.041725198,1243.14,7.2,567.0599999,0.36,22.11,1.00E-04,0.000105263
0.25211,0.50279,4231.400002,24.29999999,1316,12.25486279,21.64,1455.000001,6.151638499,1768.240001,5.450000002,442.8499999,0.39,45.18999998,0.13,0.000588235
0.169109,0.36022,1166.97,4.020000001,1286,5.945085001,21.64,1455.000001,6.151638499,1791.28,5.620000001,468.5199999,0.37,34.52999999,0.07,0.000208333
0.2347,0.26116,2521.96,5.999999999,1310,9.210340498,21.64,1455.000001,6.151638499,1613.600001,5.920000001,456.9600001,0.34,36.38,0.01,0.000344828
0.351357,0.47939,9155.990001,5.700000001,1174,4.995123402,21.64,1455.000001,6.151638499,2017.35,5.109999999,480.2099999,0.44,55.86999997,0.06,0.000243902
0.203712,0.42024,3216.990001,3.08,1332,17.5767098,21.64,1455.000001,6.151638499,2011.59,6.379999998,455.6300002,0.34,44.49999999,0.13,0.000526316
0.204518,0.4074,1259.470001,0.4,1718.000001,7.172849203,4.999999998,1315.000001,8.895872099,1951.279999,5.620000001,467.7499999,0.4,34.42000001,1.00E-04,0.000333333
0.07213,0.21886,1630.72,0.4,1718.000001,7.172849203,1.00E-04,2295.999999,5.898092697,1988.87,5.270000002,460.2000002,0.47,47.56000001,0.03,0.000294118
1.00E-04,0.19509,1630.89,1.860000001,1265,7.475525898,0.4,1718.000001,7.172849203,1817.87,5.969999998,558.6000003,0.44,35.87000002,1.00E-04,0.000111111
0.046861,0.27708,2462.790001,6.030000002,1307,8.520578401,0.4,1718.000001,7.172849203,1563.4,5.93,566.2600002,0.4,45.24999999,1.00E-04,0.000105263
0.022731,0.20975,948.6700003,3.299999998,1294,5.179369501,0.4,1718.000001,7.172849203,1717.25,5.790000002,535.78,0.45,47.43000001,1.00E-04,0.000104167
0.219138,0.46602,5355.68,0.4,1718.000001,7.172849203,1.00E-04,1245,4.845000701,1879.86,5.579999998,435.3499999,0.43,49.30999999,0.06,0.000454545
0.05913,0.25281,2292.879999,1.980000001,1309,8.144791596,0.4,1718.000001,7.172849203,1626.55,5.700000001,564.1400002,0.42,44.07000001,1.00E-04,0.000106383
1.00E-04,0.19598,752.6499998,3.070000001,1170,6.675704501,0.4,1718.000001,7.172849203,1777.960001,6.030000002,535.0599999,0.41,36.29999999,1.00E-04,0.000131579
