patch,Samples,CatSize,PopSize,Colonized,Grazing ,grazing.cat,vegtype,type,rock,anthills,burrows,erosion,eutro,T.Elem,pj2008,pj1989,Ho,He,Ar,PrA,FIS
A02,6,2,small,yes,yes,Int,2,B,0,1,1,0,1,3,0.5,0.4,0.535885167,0.576619682,4.01,0.01,0.072
A03,26,2,small,yes,yes,Int,2,B,0,1,1,0,0,2,0.69,0.46,0.517241379,0.57108288,3.7,0,0.096
A04,7,2,small,yes,yes,Int,2,B,0,0,0,0,0,0,0.58,0.56,0.480519481,0.53046953,3.7,0,0.101
A05,25,2,small,yes,yes,Cte,2,B,0,0,1,0,1,2,0.65,0.56,0.509090909,0.577175542,3.97,0,0.09
A06,29,3,big,yes,yes,Cte,2,B,0,1,0,0,0,1,0.77,0.44,0.542424242,0.637750385,4.32,0.01,0.097
A07a,27,3,big,yes,yes,Cte,2,A,0,1,0,0,0,1,0.46,0.29,0.548484848,0.591679507,4.12,0.01,0.085
A08,20,2,small,yes,yes,Int,1,F,1,1,0,0,0,2,0.56,0.35,0.486166008,0.582257356,4.02,0,0.146
A09,9,2,small,yes,yes,Int,1,F,1,1,1,1,0,4,0.52,0.27,0.585858586,0.597742127,3.84,0.06,0.021
A11,4,2,small,yes,yes,Cte,2,A,0,1,1,1,0,3,0.63,0.38,0.613636364,0.61038961,NA,NA,0.048
A12,12,2,small,no,yes,Cte,2,A,1,1,0,0,1,3,0.33,0.25,0.462121212,0.586627141,4.06,,0.22
A14,16,3,big,no,yes,Cte,2,A,1,1,0,0,1,3,0.67,0.46,0.528409091,0.542155425,3.4,,0.11
A16,1,1,small,yes,no,Ungrazed,2,A,1,1,1,0,1,4,0.33,0.27,0.454545455,0.454545455,NA,NA,NA
A18,27,3,big,no,yes,Cte,2,A,1,1,0,0,1,3,0.42,0.27,0.567398119,0.591046582,4.1,,0.045
A20,5,2,small,no,yes,Int,2,B,0,1,0,0,1,2,0.6,0.48,0.606060606,0.623966942,4.45,0.19,0.031
A21,30,3,big,no,yes,Int,2,A,1,1,1,1,0,4,0.79,0.77,0.565982405,0.606893899,4.21,0.01,0.068
A23,31,3,big,no,yes,Int,2,B,0,1,1,1,0,3,0.6,0.44,0.557184751,0.607518869,4.27,0.01,0.084
A24,29,3,big,no,yes,Int,2,A/C,0,1,1,0,0,2,0.77,0.54,0.56842066,0.612122802,4.27,0.01,0.073
A25,11,2,small,no,yes,Cte,2,A,0,1,0,1,1,3,0.67,0.44,0.521212121,0.582445141,3.85,0.03,0.108
A26,25,2,small,yes,yes,Cte,3,D,0,1,0,1,0,2,0.69,0.4,0.537853451,0.603191466,4.25,0.02,0.11
A28,33,3,big,no,yes,Cte,2,A,0,1,0,0,0,1,0.63,0.52,0.564738292,0.597753761,3.98,0.01,0.056
A29,27,3,big,no,yes,Cte,3,D,0,1,0,1,1,3,0.73,0.58,0.571428571,0.599659504,4.12,0.01,0.048
A31,23,2,small,yes,yes,Cte,1,C,0,0,1,1,0,2,0.69,0.42,0.513833992,0.594378568,4.11,0.02,0.138
A33,35,2,small,yes,yes,Cte,1,C,1,1,1,0,0,3,0.54,0.4,0.542322383,0.602197167,4.11,0.09,0.101
A36,9,2,small,no,no,Ungrazed,2,A,1,1,0,1,1,4,0.54,0.56,0.535885167,0.576619682,4.18,0,-0.043
A37,30,3,big,yes,no,Ungrazed,2,A,1,1,1,1,0,4,0.52,0.42,0.498533724,0.575549252,3.89,0.01,0.136
A38,29,4,big,no,yes,Cte,2,A,1,1,0,0,1,3,0.77,0.56,0.551515152,0.597688752,4.19,,0.078
A39,2,1,small,yes,no,Ungrazed,2,A,0,1,0,0,0,1,0.46,0.46,0.424242424,0.539393939,NA,NA,0.253
