,AirLk,Bachelor,BarkingFox,Bob,Cache,Doe,Egg,Elenas,Fawn,Frog,GentianL,GentianP,Golden,Greggs,InOut,Meadow,Moose,MtWilson,Nopez,ParagonL,ParagonW,Pothole,Ramshorn,ShipIsland,Skyhigh,Stockingca,Terrace,TwinCove,Walkabout,Welcome
AirLk,0,0.36913,0.24956,0.22965,0.32607,0.36953,0.33662,0.24218,0.36932,0.34232,0.29994,0.29453,0.35833,0.35756,0.34233,0.30776,0.39416,0.39036,0.27053,0.33559,0.31731,0.33272,0.31384,0.14859,0.35872,0.33431,0.26116,0.26436,0.40129,0.36473
Bachelor,0.36913,0,0.32275,0.2082,0.12656,0.15573,0.13045,0.31765,0.13462,0.10156,0.24858,0.28665,0.36458,0.22068,0.08192,0.28215,0.27646,0.2651,0.25312,0.22213,0.29948,0.38393,0.25434,0.25843,0.09277,0.28333,0.24167,0.15588,0.27246,0.22829
BarkingFox,0.24956,0.32275,0,0.17613,0.28101,0.31331,0.27668,0.43495,0.30326,0.31472,0.34953,0.32696,0.41499,0.30034,0.28548,0.35159,0.3135,0.31737,0.33761,0.24774,0.27064,0.42811,0.19078,0.34626,0.3138,0.39134,0.17992,0.2458,0.31562,0.27424
Bob,0.22965,0.2082,0.17613,0,0.15485,0.25157,0.16421,0.40439,0.20313,0.21883,0.33193,0.34304,0.44982,0.30518,0.17394,0.36218,0.33821,0.33483,0.3383,0.28253,0.27435,0.46526,0.24613,0.28614,0.19095,0.36565,0.13843,0.12853,0.34414,0.29517
Cache,0.32607,0.12656,0.28101,0.15485,0,0.15729,0.04838,0.35136,0.09928,0.11317,0.2497,0.28053,0.37321,0.19367,0.06964,0.27998,0.22971,0.24524,0.28214,0.18838,0.26815,0.37321,0.17143,0.26314,0.11847,0.30298,0.17748,0.13869,0.24894,0.21951
Doe,0.36953,0.15573,0.31331,0.25157,0.15729,0,0.1518,0.37338,0.13961,0.14792,0.28315,0.31391,0.39271,0.18683,0.1314,0.28772,0.2258,0.2314,0.26667,0.1921,0.27292,0.39122,0.20174,0.32077,0.18825,0.30104,0.23993,0.20223,0.22008,0.23726
Egg,0.33662,0.13045,0.27668,0.16421,0.04838,0.1518,0,0.38247,0.09981,0.15024,0.2707,0.31224,0.40076,0.20738,0.08082,0.30514,0.25746,0.25909,0.30909,0.19687,0.25341,0.40552,0.15619,0.27428,0.13803,0.32576,0.17702,0.15089,0.24494,0.2405
Elenas,0.24218,0.31765,0.43495,0.40439,0.35136,0.37338,0.38247,0,0.36707,0.2989,0.20443,0.21352,0.29622,0.27326,0.3402,0.24039,0.30698,0.28822,0.16691,0.32778,0.38901,0.29074,0.38137,0.19055,0.359,0.22706,0.41817,0.33395,0.33308,0.28331
Fawn,0.36932,0.13462,0.30326,0.20313,0.09928,0.13961,0.09981,0.36707,0,0.15093,0.25057,0.29857,0.38431,0.20401,0.09252,0.2659,0.2391,0.25495,0.27304,0.1767,0.276,0.38413,0.19841,0.30273,0.14177,0.27425,0.21583,0.18027,0.2591,0.22206
Frog,0.34232,0.10156,0.31472,0.21883,0.11317,0.14792,0.15024,0.2989,0.15093,0,0.23534,0.25977,0.33281,0.19099,0.10067,0.25214,0.22257,0.24152,0.23906,0.20981,0.31979,0.34955,0.22813,0.24431,0.13557,0.26562,0.22865,0.17143,0.25219,0.19964
GentianL,0.29994,0.24858,0.34953,0.33193,0.2497,0.28315,0.2707,0.20443,0.25057,0.23534,0,0.10573,0.27018,0.22736,0.25863,0.11436,0.26111,0.2502,0.1837,0.27795,0.38277,0.2482,0.31588,0.24202,0.30013,0.08724,0.33973,0.2797,0.28171,0.19232
GentianP,0.29453,0.28665,0.32696,0.34304,0.28053,0.31391,0.31224,0.21352,0.29857,0.25977,0.10573,0,0.24837,0.21223,0.28142,0.17512,0.2297,0.23567,0.22136,0.26134,0.38954,0.23123,0.29743,0.25801,0.31485,0.12843,0.35176,0.28864,0.25053,0.19255
Golden,0.35833,0.36458,0.41499,0.44982,0.37321,0.39271,0.40076,0.29622,0.38431,0.33281,0.27018,0.24837,0,0.26354,0.38036,0.24815,0.26307,0.28065,0.2625,0.28998,0.39583,0.17749,0.32986,0.32598,0.41171,0.3125,0.46944,0.36458,0.27589,0.28333
Greggs,0.35756,0.22068,0.30034,0.30518,0.19367,0.18683,0.20738,0.27326,0.20401,0.19099,0.22736,0.21223,0.26354,0,0.19322,0.21899,0.07674,0.09812,0.23787,0.11083,0.23058,0.24874,0.14724,0.33051,0.26801,0.25429,0.27085,0.25796,0.10357,0.1853
InOut,0.34233,0.08192,0.28548,0.17394,0.06964,0.1314,0.08082,0.3402,0.09252,0.10067,0.25863,0.28142,0.38036,0.19322,0,0.28875,0.23706,0.23661,0.26786,0.17856,0.26548,0.38929,0.17867,0.25371,0.09123,0.28869,0.18631,0.12083,0.24537,0.24093
Meadow,0.30776,0.28215,0.35159,0.36218,0.27998,0.28772,0.30514,0.24039,0.2659,0.25214,0.11436,0.17512,0.24815,0.21899,0.28875,0,0.25613,0.24837,0.21809,0.25067,0.34781,0.19567,0.29019,0.27334,0.33166,0.15289,0.32922,0.30019,0.25724,0.19219
Moose,0.39416,0.27646,0.3135,0.33821,0.22971,0.2258,0.25746,0.30698,0.2391,0.22257,0.26111,0.2297,0.26307,0.07674,0.23706,0.25613,0,0.07085,0.26994,0.13491,0.271,0.25277,0.17337,0.37251,0.30063,0.27161,0.30192,0.29499,0.06531,0.19494
MtWilson,0.39036,0.2651,0.31737,0.33483,0.24524,0.2314,0.25909,0.28822,0.25495,0.24152,0.2502,0.23567,0.28065,0.09812,0.23661,0.24837,0.07085,0,0.2497,0.1517,0.25208,0.26347,0.19524,0.36556,0.29585,0.27083,0.3001,0.29077,0.08013,0.21935
Nopez,0.27053,0.25312,0.33761,0.3383,0.28214,0.26667,0.30909,0.16691,0.27304,0.23906,0.1837,0.22136,0.2625,0.23787,0.26786,0.21809,0.26994,0.2497,0,0.23685,0.25417,0.29264,0.28958,0.21797,0.27981,0.2125,0.33958,0.26786,0.30706,0.26538
ParagonL,0.33559,0.22213,0.24774,0.28253,0.18838,0.1921,0.19687,0.32778,0.1767,0.20981,0.27795,0.26134,0.28998,0.11083,0.17856,0.25067,0.13491,0.1517,0.23685,0,0.15249,0.25621,0.08709,0.31411,0.24767,0.31624,0.24993,0.2353,0.13304,0.22094
ParagonW,0.31731,0.29948,0.27064,0.27435,0.26815,0.27292,0.25341,0.38901,0.276,0.31979,0.38277,0.38954,0.39583,0.23058,0.26548,0.34781,0.271,0.25208,0.25417,0.15249,0,0.35931,0.15625,0.33292,0.29088,0.4125,0.25417,0.24851,0.26074,0.35208
Pothole,0.33272,0.38393,0.42811,0.46526,0.37321,0.39122,0.40552,0.29074,0.38413,0.34955,0.2482,0.23123,0.17749,0.24874,0.38929,0.19567,0.25277,0.26347,0.29264,0.25621,0.35931,0,0.31669,0.32082,0.43106,0.27232,0.44731,0.38393,0.2479,0.26358
Ramshorn,0.31384,0.25434,0.19078,0.24613,0.17143,0.20174,0.15619,0.38137,0.19841,0.22813,0.31588,0.29743,0.32986,0.14724,0.17867,0.29019,0.17337,0.19524,0.28958,0.08709,0.15625,0.31669,0,0.28431,0.24965,0.35417,0.20347,0.20933,0.14158,0.23782
ShipIsland,0.14859,0.25843,0.34626,0.28614,0.26314,0.32077,0.27428,0.19055,0.30273,0.24431,0.24202,0.25801,0.32598,0.33051,0.25371,0.27334,0.37251,0.36556,0.21797,0.31411,0.33292,0.32082,0.28431,0,0.24343,0.25882,0.32145,0.22234,0.38252,0.33846
Skyhigh,0.35872,0.09277,0.3138,0.19095,0.11847,0.18825,0.13803,0.359,0.14177,0.13557,0.30013,0.31485,0.41171,0.26801,0.09123,0.33166,0.30063,0.29585,0.27981,0.24767,0.29088,0.43106,0.24965,0.24343,0,0.32231,0.24383,0.14217,0.31975,0.28065
Stockingca,0.33431,0.28333,0.39134,0.36565,0.30298,0.30104,0.32576,0.22706,0.27425,0.26562,0.08724,0.12843,0.3125,0.25429,0.28869,0.15289,0.27161,0.27083,0.2125,0.31624,0.4125,0.27232,0.35417,0.25882,0.32231,0,0.38542,0.29673,0.29735,0.24391
Terrace,0.26116,0.24167,0.17992,0.13843,0.17748,0.23993,0.17702,0.41817,0.21583,0.22865,0.33973,0.35176,0.46944,0.27085,0.18631,0.32922,0.30192,0.3001,0.33958,0.24993,0.25417,0.44731,0.20347,0.32145,0.24383,0.38542,0,0.18333,0.32208,0.2906
TwinCove,0.26436,0.15588,0.2458,0.12853,0.13869,0.20223,0.15089,0.33395,0.18027,0.17143,0.2797,0.28864,0.36458,0.25796,0.12083,0.30019,0.29499,0.29077,0.26786,0.2353,0.24851,0.38393,0.20933,0.22234,0.14217,0.29673,0.18333,0,0.30059,0.25968
Walkabout,0.40129,0.27246,0.31562,0.34414,0.24894,0.22008,0.24494,0.33308,0.2591,0.25219,0.28171,0.25053,0.27589,0.10357,0.24537,0.25724,0.06531,0.08013,0.30706,0.13304,0.26074,0.2479,0.14158,0.38252,0.31975,0.29735,0.32208,0.30059,0,0.19315
Welcome,0.36473,0.22829,0.27424,0.29517,0.21951,0.23726,0.2405,0.28331,0.22206,0.19964,0.19232,0.19255,0.28333,0.1853,0.24093,0.19219,0.19494,0.21935,0.26538,0.22094,0.35208,0.26358,0.23782,0.33846,0.28065,0.24391,0.2906,0.25968,0.19315,0
