Label,AreaClass,Slope,VegType,Shrubs.2008,Shrubs.1989,"Elements1989(e,g,h,I,k)",Elements2008,Elements1989.4,Elements2008.4,Saturation,Type,System,Grazing,Grazing4,Grazing2,Clearing,Richness2008,Richness1989,Pulsatilla2008,Pulsatilla1989,Area.ha,S.euclidean,S.sheep.continuous,S.sheep.intermittent,S.sheep.yes.no,Richness1989.without4,Richness1989.without5,Richness1989.without8,Richness2008.without4,Richness2008.without5,Richness2008.without8,,x,y,Change,Rel.Change,Colonizations,Extinctions,Col.Rate,Ext.Rate
A01,3,4,A,3,0,1,1,1,1,27,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,11,13,0,0,0.135662,5.115083523,4.65165E-42,4.65165E-42,4.65165E-42,11,10,10,9,8,9,,4431469.698,5430049.77,-2,-0.057,1,3,0.028571429,0.230769231
A02,4,6,B,3,1,2,2,2,2,40,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,24,19,1,0,0.181714,4.517627671,4.64994E-42,4.64994E-42,4.64994E-42,19,18,15,24,23,20,,4431614.02,5429592.697,5,0.172,9,4,0.310344828,0.210526316
A03,4,6,B,3,1,0,3,0,3,42,Patch,Grimm,Intermittently,Intermittently,YES,NO,33,22,3,2,0.205717,4.959020473,4.64904E-42,3.175438321,28.02240967,22,21,18,32,31,27,,4431320.064,5429355.82,11,0.423,11,0,0.423076923,0
A04,4,6,B,3,0,2,0,2,0,56,Patch,Grimm,Intermittently,Intermittently,YES,NO,28,27,3,2,0.14247,5.525769657,4.6514E-42,1.370623302,28.04567694,27,26,22,27,26,23,,4431246.138,5429023.435,1,0.048,8,7,0.380952381,0.259259259
A05,4,6,B,3,1,1,2,1,2,54,Patch,Grimm,Consistently,Consistently,YES,NO,31,27,2,2,0.134483,6.358476158,0.908281868,0.819149799,28.0486152,27,26,22,30,29,25,,4431036.568,5428803.846,4,0.190,6,2,0.285714286,0.074074074
A06,4,6,B,3,3,2,2,2,2,44,Patch,Grimm,Consistently,Consistently,YES,NO,37,21,2,2,0.200595,6.847472641,2.318326121,1.886932752,28.02429395,21,20,18,34,33,31,,4431027.393,5428604.128,16,0.593,17,1,0.62962963,0.047619048
A07,3,6,F,1,1,0,0,0,0,6,Patch,none,Ungrazed,Ungrazed,Ungrazed,NO,0,3,0,0,0.021347,7.000891411,4.6559E-42,4.6559E-42,4.6559E-42,3,3,3,0,0,0,,4431284.144,5428348.618,-3,-0.067,0,3,0,1
A07a,4,4,A,0,1,1,1,1,1,29,Patch,Grimm,Consistently,Consistently,YES,NO,22,14,0,0,0.199938,7.076932201,2.24273723,2.630037013,28.02453565,14,14,11,20,19,16,,4431362.262,5427799.014,8,0.235,14,6,0.411764706,0.428571429
A08,5,5,F,3,1,2,3,1,2,33,Patch,Grimm,Intermittently,Intermittently,YES,NO,27,17,0,0,0.46418,13.30575231,4.63943E-42,4.165336991,27.92732645,16,16,14,25,25,21,,4428813.938,5426460.702,10,0.323,12,2,0.387096774,0.117647059
A09,3,6,F,0,2,1,4,1,3,21,Patch,Grimm,Intermittently,Intermittently,YES,NO,25,13,0,0,0.070431,11.57160286,4.65408E-42,0.938465793,28.07217861,12,12,10,22,21,21,,4428809.148,5426177.862,12,0.343,12,0,0.342857143,0
A10,4,6,F,3,1,1,1,1,1,23,Patch,Grimm,Intermittently,Intermittently,YES,NO,8,11,0,0,0.107007,10.97362675,4.65272E-42,0.392584245,28.05872305,10,9,9,8,7,7,,4428821.554,5426097.733,-3,-0.081,2,5,0.054054054,0.454545455
A10a,4,6,F,1,0,1,0,1,0,25,Patch,Grimm,Intermittently,Intermittently,YES,NO,5,12,0,0,0.090729,10.7108081,4.65332E-42,0.190683849,28.06471139,11,10,10,5,5,5,,4428811.544,5426058.383,-7,-0.194,0,7,0,0.583333333
A11,5,3,A,0,1,1,4,1,4,35,Patch,Grimm,Consistently,Consistently,YES,NO,30,18,0,0,0.654129,11.01248985,3.86592427,1.794354136,27.85744812,17,17,14,26,26,24,,4428920.174,5426180.575,12,0.400,12,0,0.4,0
A12,3,4,A,0,2,2,3,1,2,25,Patch,Grimm,Consistently,Consistently,YES,NO,16,12,0,0,0.060276,9.531606902,1.838319597,0.095368532,28.07591443,12,12,10,15,15,14,,4428787.07,5425875.475,4,0.111,5,1,0.138888889,0.083333333
