	A01	A02	A03	A04	A05	A06	A07	A07a	A08	A09	A10	A10a	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A28a	A29	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	A40	A41	A42	A43	A44	A45	A46	A47	A48	A49	A50	A51	A51a	A52	A53	A54	A55	A56	A57	A58	G01	G02	G08	G05a	G09	G13b	G100a	G13a	G20	G21	G21a	G23	G24	G25	G26	G26a	G27	G28	G29	G30	G31	G32	G35	G37	G39	G40	G45	G46	G47	G48	G49	G50	E01	G16	E03	E04	E09	N03	N10	Nroth	N05	C08	G03	Gzim
A01	0	0.171441373	0.491611664	0.743987453	0.910384918	0.752374118	1.190779595	1.311506912	3.966528436	4.167138622	4.309312992	4.324561524	4.342140874	4.464469711	4.727379344	4.831550708	4.918984421	4.11901635	4.011637473	3.851855736	3.30373806	3.557623052	3.767399922	3.689112563	4.345828517	4.369999909	5.349079017	7.696223509	6.981170812	6.824699982	6.731339572	6.932222467	6.357268117	7.120281247	7.093774582	5.726241396	4.991669109	5.618895506	3.570081306	3.594510808	4.818713143	5.705880146	4.475915984	4.439157627	4.532781102	4.079174922	6.209125002	7.272068118	7.371435109	4.226363491	2.343357285	4.060240271	4.031601429	3.550536346	3.899656096	3.21746895	2.305548167	1.385036189	2.812975892	0.794590891	1.14808324	0.981276716	5.953614791	6.929643951	1.232187107	0.835605203	1.478206278	0.706338953	6.225944381	0	6.027787258	4.796905967	4.212793245	5.196749235	5.845481068	5.658266284	5.300480369	6.355362373	4.522545869	4.811710963	5.172378643	4.249966555	4.012922551	4.023973221	3.204994327	3.262849144	3.34666512	3.282395717	1.713630771	3.334654217	3.441570245	1.212079221	1.230768288	1.647372345	7.371435109	6.027787258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A02	0.171441373	0	0.371918777	0.56715966	0.665037261	0.879681763	1.028379318	1.188034161	3.63978063	3.705523183	3.804907049	3.828706209	3.823569109	4.006289464	4.16046023	4.285311483	4.385209507	3.749147414	3.680131295	3.584123375	3.13878751	3.325354589	3.399559051	3.307974849	3.841963399	4.170000719	6.7821207	7.643127882	6.211933476	6.231484462	6.142666375	5.828030184	5.015537604	5.866049981	5.699589551	5.003142659	5.348911027	4.716500804	3.902598866	3.996860726	4.745566425	5.411989989	4.113267856	4.073621406	4.371040049	4.115426766	5.927188651	6.575369078	6.829016919	4.74314492	3.570823541	4.538328699	4.514191676	4.350740121	4.404218734	4.305444678	3.553578568	1.836542459	3.965598201	1.043409864	1.355600371	1.226232339	7.002853458	7.441023026	1.423872824	1.251953854	1.963277069	1.506845483	5.67493824	0.238527168	5.935059403	4.463617344	4.515934735	4.585347057	4.823018747	4.950936626	4.467387246	5.060007574	5.69930383	4.079549045	4.957370986	4.690694189	4.498877279	3.95376779	3.073061803	3.051405628	3.124934532	2.936382934	1.443589841	3.198394349	3.38225451	1.035843273	1.396720958	1.505332352	6.829016919	5.935059403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A03	0.491611664	0.371918777	0	0.255569936	0.339743785	0.453321377	0.647413314	0.859796708	3.425048862	3.578046633	3.688009879	3.707837122	3.703767626	3.787606044	4.015435002	4.156729151	4.246281903	3.588412932	3.485788469	3.355727899	3.027736796	3.163606428	3.217331111	3.106211764	3.603814708	4.111670968	7.091319169	7.257521281	5.817749954	5.758593667	5.674231806	5.682250758	4.704230771	5.653222056	5.27519446	5.003838391	5.511891546	4.54457029	3.640823194	3.587404285	4.463584621	5.225100648	3.942360889	3.895122445	4.192409538	3.601492075	6.159298685	6.397425691	6.533117919	4.883700514	4.633012663	4.719240544	4.67722249	4.514380312	4.600404255	4.518965166	4.394383741	3.309968882	4.506834624	2.051366711	2.199213822	2.064569678	6.768658798	7.195680627	2.135759731	2.284510158	3.377981192	1.175406144	5.256281018	0.592007764	5.805568455	4.199615134	4.39296479	4.278568026	4.503412447	4.541260846	4.440267421	4.735422815	5.340071827	3.738716081	4.593407692	4.337420017	4.149869476	3.756098703	2.900511993	2.907741922	2.852289526	2.719977316	1.253062766	2.795894714	3.104692743	0.585387685	0.93630792	1.142061828	6.533117919	5.805568455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A04	0.743987453	0.56715966	0.255569936	0	0.053745215	0.288795938	0.318020175	0.417118298	2.86165365	3.052585043	3.161902355	3.176294867	3.158603344	3.311504862	3.492486212	3.629828191	3.721159292	3.147022912	2.976665027	2.982296859	2.835450023	2.793490031	2.734859334	2.55315879	2.955537196	4.040678961	6.699716064	5.806193125	5.143040774	5.24913777	5.166270578	5.193936948	5.310617157	5.114488483	5.722126466	5.021983972	4.951115197	3.858685888	2.961393017	3.148069355	4.090403072	4.88168171	3.426308124	3.380791294	3.78758384	3.191781016	6.106299509	6.208275136	5.983062752	5.112001033	5.074535608	4.94861562	4.906138673	4.754203639	4.848398356	4.761046077	4.818482827	3.761497076	4.713066856	2.499306356	2.673321357	2.518019857	6.765601893	7.16741361	2.438172045	2.824848774	3.943561147	1.414380666	5.119281623	0.663280561	5.006101216	4.068839159	4.536413086	4.602238402	4.467854913	4.043558552	4.935741621	5.250550371	4.122031912	2.629051693	3.92323819	3.891433452	3.589813735	3.251607345	2.663705656	2.578021626	2.381348569	2.17095952	1.000828995	2.259126416	2.672491633	0.31002719	0.651110296	0.882060002	5.983062752	5.006101216	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A05	0.910384918	0.665037261	0.339743785	0.053745215	0	0.081969367	0.1792289	0.374300624	2.807856112	3.027095173	3.161460647	3.182921077	3.168352087	3.325595715	3.545311869	3.689943994	3.784607341	3.143585326	2.933908156	2.977717559	2.611773326	2.632180277	2.481143149	2.433138418	2.832830347	3.888056195	6.325296653	5.39153819	5.403026217	5.51719878	5.436244244	5.606374709	5.263267543	5.855803817	5.780605141	4.850506449	4.610672075	3.604846108	2.905014229	3.118233781	4.042916724	4.849561617	3.369691716	3.32655757	3.769818875	3.677362278	5.765090759	6.178176684	5.727719936	5.335368926	5.226095816	5.168663324	5.134079972	4.983580445	5.074694152	4.986633287	4.967870792	4.394924545	4.917473465	3.241250283	3.124706496	2.946578861	6.620963246	7.002001614	2.883809045	3.82987542	4.686072378	1.98694007	5.11334934	1.459883773	4.583487972	4.455006758	4.509057746	4.930867009	5.017901418	3.844497819	4.924595699	5.348054981	4.045694609	2.558180722	3.737398442	3.869499894	3.53866047	2.911009566	2.456384129	2.436232831	2.340575715	2.117083358	0.824391513	2.2249453	2.680350494	0.169212057	0.383166567	0.631181654	5.727719936	4.583487972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A06	0.752374118	0.879681763	0.453321377	0.288795938	0.081969367	0	0.177735913	0.221142646	2.628692105	2.840773343	2.965528026	2.98526677	2.964138968	3.122342393	3.329286894	3.471439887	3.559883078	2.975940285	2.77690316	2.702412281	2.570998179	2.534265593	2.339461559	2.34379043	2.672414348	3.694021851	5.798127801	5.762355039	6.021676496	6.135980979	6.06200359	5.903130186	4.550829015	5.833939854	5.286943963	4.334714861	3.789375925	3.069874953	2.749536362	2.96322721	3.932267698	4.787381731	3.24109698	3.194320559	3.662879301	3.269019191	5.650524568	6.505611472	5.882292807	5.43529997	5.252309289	5.268909602	5.232667657	5.058753031	5.187056422	5.055763785	4.993162545	4.5177527	4.97238768	3.374100204	3.200784553	3.026431151	6.730711132	7.094941219	2.916597557	3.908352522	4.785302955	1.650029366	4.532508736	1.476994473	4.516484167	4.979470032	4.467339697	5.114755757	5.223146352	3.360295709	4.344320191	4.893024342	3.328975572	2.357646811	3.214426555	3.638703726	3.306368507	2.9405952	2.460095728	2.366015172	2.247289026	1.924811996	0.767387069	2.046946024	2.611049878	0.171021346	0.343111247	0.582297099	5.882292807	4.516484167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A07	1.190779595	1.028379318	0.647413314	0.318020175	0.1792289	0.177735913	0	0.083309412	2.522869483	2.814067094	2.924519016	2.957934607	2.91303831	3.067640688	3.129212691	3.263414196	3.332806404	3.021275461	2.88524593	2.2372845	2.720756443	2.4306137	2.176627107	2.167274694	2.500912891	3.048751598	6.856947377	6.294458467	4.782647408	4.826405697	4.752662464	4.497015977	2.847473156	4.378470832	3.225372406	2.860736914	2.930314037	2.143690546	2.945468628	2.918111206	4.208057978	5.076716535	3.540733953	3.496489277	3.902380124	2.829908741	5.866402353	6.077164504	6.153936702	5.507807177	5.408522453	5.353292895	5.31863324	5.173914293	5.261471843	5.174100559	5.164459402	4.449282096	5.100633959	3.044903289	3.128811386	2.943723978	6.84676971	7.232119999	2.828843948	3.771379533	4.760818054	1.813718382	3.980147656	1.389724773	4.674731894	4.065796638	3.500964018	3.887504513	3.939029561	2.500790547	2.722524648	3.24080182	2.498530266	2.880224106	2.484626082	3.746434704	3.516288603	2.957927036	2.638762716	2.343273017	2.13191934	1.747733156	0.305743269	1.840205353	2.214211472	0.00899352	0.398965343	0.440984004	6.153936702	4.674731894	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A07a	1.311506912	1.188034161	0.859796708	0.417118298	0.374300624	0.221142646	0.083309412	0	1.892235763	1.977920505	2.023390535	2.037840071	2.005165934	2.111886934	2.131146174	2.519799402	2.589431398	2.13656046	2.058165899	1.921274412	2.519432289	2.07843087	1.960813562	2.032526055	2.813087043	2.837010024	6.096352792	3.966269646	3.458787117	3.172373434	3.136461227	2.858456805	2.299064633	2.980262788	2.632343703	3.059693265	3.05027603	2.209474195	2.165116467	2.309102941	3.676653597	4.574645808	2.782302923	2.762136967	3.384221546	2.924403765	4.570730386	6.093571068	5.868016324	5.708704639	5.511610131	5.502027919	5.461657251	5.240738471	5.369682889	5.219093202	5.243452566	4.793159849	5.201870607	3.271426052	3.273963053	3.101590205	6.852379729	7.06074313	2.95703229	4.050773594	5.061928449	2.695003007	3.4749467	1.452386461	3.424380941	3.344248243	3.026374531	2.801276049	2.666014054	2.594307054	2.196642382	2.451258384	2.639577816	3.265886346	2.315819157	3.115855901	2.770009941	2.444731996	2.396018839	2.120464979	2.110980838	1.481165819	0.060790531	1.769511551	2.174935074	0.112178429	0	0.100228792	5.868016324	3.424380941	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A08	3.966528436	3.63978063	3.425048862	2.86165365	2.807856112	2.628692105	2.522869483	1.892235763	0	0	0	0	0.060958215	0	0.112900209	0.029590949	0.091950237	0.001044357	0	0.035686286	0.347280142	0.551933185	0.351401426	0.309986079	0.292252457	0.426163503	1.538660455	1.016542261	0.783772747	0.954912378	0.879139465	1.015876956	0.938536469	1.254006317	1.274901759	0.882443162	0.599392894	0.108910301	0.054498965	0.216686681	1.071512906	1.736195904	0.47114134	0.436636522	0.57640217	0.970358804	2.440180553	1.83311924	2.380881578	3.791212238	4.686073571	3.883437646	3.702744129	4.159810366	3.783618498	4.171216316	5.004968635	5.627813259	4.868056569	6.029832031	5.735136352	5.702324152	3.162575739	2.835325468	5.585469853	5.883575626	5.746725807	5.142563395	2.615191556	4.314771969	1.901114841	0.743165584	0.931890305	0.319977953	0.063517479	0.798895087	0.634516882	0.723161805	0.217490605	1.424037849	0.178025169	1.006898224	0.631271587	0.378086879	0.918368205	0.468142483	0.22138194	0.693641172	1.899190771	0.160005356	0.010254783	2.268971914	2.2082158	1.548225448	2.380881578	1.901114841	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A09	4.167138622	3.705523183	3.578046633	3.052585043	3.027095173	2.840773343	2.814067094	1.977920505	0	0	0	0	0.014411905	0	0.094161388	0.019591694	0.110678666	0	0	0.054364806	0.258275243	0.180144721	0.263424379	0.214334048	0.255026988	0.349221498	1.263298927	0.635825904	0.99157329	1.351282696	1.142370346	1.484965109	0.772389202	1.223681673	0.801245665	0.592118698	0.51719243	0.187007345	0.061659449	0.242117977	1.159762352	1.712174508	0.471272198	0.42458502	0.622136257	0.877386149	2.385566311	2.965382114	2.490244581	3.798183777	4.678162004	3.784049721	3.974911079	4.207122575	4.037846673	4.159221634	4.964426545	5.617758764	4.833302099	6.0964721	5.82601398	5.734630089	2.690666778	3.175695105	5.548323031	5.919174465	5.71761293	5.291464447	2.55677386	4.488451738	1.936758986	0.330453711	0.897593566	0.346689301	0.100816914	0.815424586	0.814660641	0.823374794	0.209668962	1.465029461	0.095534176	1.067568886	0.644308713	0.38117799	0.398023791	0.348872781	0.441714658	0.883685525	1.982256946	0.16	0.066030064	2.561397846	2.460119719	1.818201946	2.490244581	1.936758986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
